"Tendencias","Volumen de búsquedas","Inicio","Finalizada","Desglose de tendencias","Enlace a Explorar"
"sport recife x londrina","200 mil+","14 de agosto de 2026 a las 19:30:00 UTC-3",,"sport recife x londrina,classificações de sport recife x londrina esporte clube,sport,jogo do sport,sport recife,brasileiro série b,sport x londrina,campeonato brasileiro série b,sport x,sport club do recife,londrina fc,diego hernández,jogo do sport hoje,sport x londrina onde assistir,jogo sport,londrina esporte clube,campeonato brasileiro b,sport vs londrina,sport fc","./explore?q=sport%20recife%20x%20londrina&geo=BR"
"maya boyd","50 mil+","15 de agosto de 2026 a las 1:10:00 UTC-3",,"maya boyd,inde navarrette,christopher abbott,adam driver,d23,inde navarette,sadie sink,rogue x men,mister sinister,mr sinister,rogue,obsession","./explore?q=maya%20boyd&geo=BR"
"casas bahia","50 mil+","14 de agosto de 2026 a las 10:50:00 UTC-3",,"casas bahia,casas bahia fecha lojas,casas bahia 298 lojas,loja,casa bahia,casas bahia fechamento lojas,bhia3,lojas casas bahia","./explore?q=casas%20bahia&geo=BR"
"alerta severo de ciclone","50 mil+","14 de agosto de 2026 a las 12:10:00 UTC-3",,"alerta severo de ciclone","./explore?q=alerta%20severo%20de%20ciclone&geo=BR"
"ponte preta x náutico","50 mil+","14 de agosto de 2026 a las 18:30:00 UTC-3",,"ponte preta x náutico,nautico,ponte preta,nautico x,náutico,ponte preta x,jogo do náutico","./explore?q=ponte%20preta%20x%20n%C3%A1utico&geo=BR"
"bolsonaro","50 mil+","15 de agosto de 2026 a las 3:40:00 UTC-3",,"bolsonaro,luiz inácio lula da silva,lula,pesquisa quaest presidente,quaest,pesquisa para presidente 2026,pesquisa quaest,senador flavio bolsonaro","./explore?q=bolsonaro&geo=BR"
"serie b","50 mil+","14 de agosto de 2026 a las 20:00:00 UTC-3","15 de agosto de 2026 a las 6:30:00 UTC-3","serie b,brasileirão série b,série b,brasileirao b","./explore?q=serie%20b&geo=BR"
"indonésia","20 mil+","14 de agosto de 2026 a las 20:20:00 UTC-3",,"indonésia,terremoto indonésia tsunami,terremoto,indonesia,terremoto indonésia,terremoto indonesia,terremoto na indonésia,terremoto indonesia tsunami,terremotos,terremoto na indonésia hoje,terremotos indonesia","./explore?q=indon%C3%A9sia&geo=BR"
"reforma da previdência","20 mil+","14 de agosto de 2026 a las 17:00:00 UTC-3",,"reforma da previdência","./explore?q=reforma%20da%20previd%C3%AAncia&geo=BR"
"receita federal","20 mil+","15 de agosto de 2026 a las 6:40:00 UTC-3",,"receita federal","./explore?q=receita%20federal&geo=BR"
"classificações de são bernardo futebol clube x botafogo sp","20 mil+","14 de agosto de 2026 a las 21:30:00 UTC-3",,"classificações de são bernardo futebol clube x botafogo sp,são bernardo x botafogo sp,sao bernardo fc,botafogo sp,sao bernardo x,são bernardo fc,jogo do são bernardo","./explore?q=classifica%C3%A7%C3%B5es%20de%20s%C3%A3o%20bernardo%20futebol%20clube%20x%20botafogo%20sp&geo=BR"
"fernando moreira salles","20 mil+","14 de agosto de 2026 a las 11:00:00 UTC-3",,"fernando moreira salles","./explore?q=fernando%20moreira%20salles&geo=BR"
"al-hilal x al faisaly","20 mil+","14 de agosto de 2026 a las 14:30:00 UTC-3",,"al-hilal x al faisaly,classificações de al-hilal x al faisaly,campeonato saudita,al hilal x","./explore?q=al-hilal%20x%20al%20faisaly&geo=BR"
"previsao do tempo","20 mil+","15 de agosto de 2026 a las 7:40:00 UTC-3",,"previsao do tempo,previsão do tempo são paulo,previsão do tempo sp,clima em são paulo,tempo são paulo,tempo sp,previsao tempo,previsao do tempo sp,previsao do tempo são paulo,climatempo são paulo,tempo hoje,previsao do tempo hoje,climatempo sp,tempo em são paulo,temperatura são paulo,previsao do tempo sao paulo,previsão do tempo em são paulo,clima sao paulo,tempo sao paulo,chuva sp,temperatura em são paulo,tempo em sp","./explore?q=previsao%20do%20tempo&geo=BR"
"andré mendonça","20 mil+","14 de agosto de 2026 a las 11:10:00 UTC-3","15 de agosto de 2026 a las 8:40:00 UTC-3","andré mendonça","./explore?q=andr%C3%A9%20mendon%C3%A7a&geo=BR"
"galatasaray","20 mil+","14 de agosto de 2026 a las 11:20:00 UTC-3","14 de agosto de 2026 a las 22:40:00 UTC-3","galatasaray","./explore?q=galatasaray&geo=BR"
"instabilidade aplicativo nubank","20 mil+","14 de agosto de 2026 a las 21:10:00 UTC-3","15 de agosto de 2026 a las 7:00:00 UTC-3","instabilidade aplicativo nubank,nubank fora do ar,nubank,nubank caiu,nubank fora do ar hoje,nubank caiu?,nubank instabilidade,nubank ta fora do ar,aplicativo nubank,instabilidade nubank,nubank fora,nubank está fora do ar,nubank fora do ar?,app nubank fora do ar,instabilidade nubank hoje","./explore?q=instabilidade%20aplicativo%20nubank&geo=BR"
"asteroide","10 mil+","14 de agosto de 2026 a las 20:50:00 UTC-3",,"asteroide","./explore?q=asteroide&geo=BR"
"décimo terceiro salário","10 mil+","14 de agosto de 2026 a las 20:10:00 UTC-3",,"décimo terceiro salário","./explore?q=d%C3%A9cimo%20terceiro%20sal%C3%A1rio&geo=BR"
"multa","10 mil+","15 de agosto de 2026 a las 5:00:00 UTC-3",,"multa","./explore?q=multa&geo=BR"
"honda biz","10 mil+","14 de agosto de 2026 a las 12:30:00 UTC-3",,"honda biz,honda biz kuromi","./explore?q=honda%20biz&geo=BR"
"kit connor","10 mil+","15 de agosto de 2026 a las 1:30:00 UTC-3",,"kit connor,x men,xmen,elenco xmen,cailee spaeny,elenco x men,x-men,maya boyd filmes,omelete,x men marvel,marvel","./explore?q=kit%20connor&geo=BR"
"tempo","10 mil+","15 de agosto de 2026 a las 7:50:00 UTC-3","15 de agosto de 2026 a las 9:30:00 UTC-3","tempo,chuva intensa","./explore?q=tempo&geo=BR"
